"","time","close","Rd"
"2587",2008-06-24,9139,-2.95407422750174
"2592",2008-07-01,9379,2.59221772367368
"2597",2008-07-08,9147,-2.50471908525753
"2602",2008-07-15,9150,0.0327922613204024
"2607",2008-07-22,8904,-2.72532653141866
"2612",2008-07-29,8434,-5.42294586488765
"2617",2008-08-05,8100,-4.04070936459746
"2622",2008-08-12,6992,-14.7097423325159
"2627",2008-08-19,7543,7.58533425182595
"2631",2008-08-26,7115,-5.84147493296783
"2636",2008-09-02,6466,-9.56475522385745
"2641",2008-09-09,5255,-20.7377674974326
"2646",2008-09-16,4760,-9.89323360855856
"2651",2008-09-23,4782,0.461120079280342
"2656",2008-09-30,3217,-39.6409620779243
"2661",2008-10-07,2922,-9.61809349283813
"2666",2008-10-14,1809,-47.949410691535
"2671",2008-10-21,1292,-33.6582801052748
"2676",2008-10-28,982,-27.4355375988081
"2681",2008-11-04,815,-18.6403195113603
"2686",2008-11-11,818,0.367422336188383
"2691",2008-11-18,865,5.58671703291322
"2696",2008-11-25,804,-7.31302377529124
"2701",2008-12-02,684,-16.1641351556416
"2706",2008-12-09,679,-0.73367900638539
"2711",2008-12-16,828,19.8392026826563
"2716",2008-12-23,784,-5.4604134034852
"2720",2009-01-06,775,-1.15459909970603
"2725",2009-01-13,911,16.1679867906611
"2730",2009-01-20,872,-4.37534733509786
"2735",2009-01-27,1004,14.0957876342695
"2740",2009-02-03,1148,13.4029276627837
"2745",2009-02-10,1974,54.2040643113916
"2750",2009-02-17,1895,-4.08431024769005
"2755",2009-02-24,2010,5.89158835365948
"2760",2009-03-03,2034,1.18695755553837
"2765",2009-03-10,2298,12.2034881800196
"2770",2009-03-17,1974,-15.1977238415274
"2775",2009-03-24,1758,-11.5885141748305
"2780",2009-03-31,1615,-8.48418425883652
"2785",2009-04-07,1466,-9.67973532101603
"2788",2009-04-14,1492,1.75798983171092
"2793",2009-04-21,1797,18.6001106019853
"2798",2009-04-28,1790,-0.390298794875843
"2802",2009-05-05,1897,5.80580711002137
"2807",2009-05-12,2253,17.198897049723
"2812",2009-05-19,2644,16.0030260539332
"2816",2009-05-26,2942,10.6796700189806
"2821",2009-06-02,4106,33.3359696417497
"2826",2009-06-09,3518,-15.4556672281375
"2831",2009-06-16,3951,11.6076065113887
"2836",2009-06-23,3874,-1.96811464444497
"2841",2009-06-30,3757,-3.06667983929731
"2846",2009-07-07,3216,-15.5482415275111
"2851",2009-07-14,3097,-3.77044503256538
"2856",2009-07-21,3455,10.9388556228566
"2861",2009-07-28,3475,0.577202179712266
"2866",2009-08-04,3159,-9.53389571968071
"2871",2009-08-11,2623,-18.5936820935212
"2876",2009-08-18,2704,3.04134572959818
"2881",2009-08-25,2388,-12.4275962650362
"2885",2009-09-01,2423,1.4550246304033
"2890",2009-09-08,2462,1.59675859278732
"2895",2009-09-15,2431,-1.26713324282761
"2900",2009-09-22,2246,-7.91518390177348
"2905",2009-09-29,2185,-2.75350277686979
"2910",2009-10-06,2441,11.079196286327
"2915",2009-10-13,2646,8.06412742819411
"2920",2009-10-20,2832,6.7934110138709
"2925",2009-10-27,3013,6.19530843166904
"2930",2009-11-03,3247,7.47952329725443
"2935",2009-11-10,3615,10.736036249002
"2940",2009-11-17,4381,19.2185153221033
"2945",2009-11-24,4340,-0.940266071944684
"2950",2009-12-01,3836,-12.3444191091123
"2955",2009-12-08,3902,1.70590851797279
"2960",2009-12-15,3518,-10.3596595885552
"2965",2009-12-22,3063,-13.849781846473
"2969",2010-01-05,3270,6.53951570585249
"2974",2010-01-12,3160,-3.42179573103412
"2979",2010-01-19,3208,1.50756624054473
"2984",2010-01-26,3205,-0.0935599631635142
"2989",2010-02-02,2691,-17.4799218627864
"2994",2010-02-09,2706,0.555865800382715
"2999",2010-02-16,2598,-4.07296115001881
"3004",2010-02-23,2724,4.73594700388578
"3009",2010-03-02,2792,2.46567966128604
"3014",2010-03-09,3210,13.9512752241798
"3019",2010-03-16,3498,8.59204394544868
"3024",2010-03-23,3280,-6.43479542003575
"3029",2010-03-30,2982,-9.52492060535057
"3033",2010-04-06,2981,-0.033540164661261
"3038",2010-04-13,2928,-1.79392185968696
"3043",2010-04-20,2998,2.36258035813401
"3048",2010-04-27,3203,6.61424709466161
"3052",2010-05-04,3352,4.54693119928162
"3057",2010-05-11,3822,13.1216663198243
"3062",2010-05-18,3882,1.55766389287386
"3067",2010-05-25,4187,7.56340022901867
"3071",2010-06-01,4074,-2.73591692323922
"3076",2010-06-08,3579,-12.9541886020725
"3081",2010-06-15,3020,-16.982660039711
"3086",2010-06-22,2547,-17.0340635389459
"3091",2010-06-29,2447,-4.00534115367854
"3096",2010-07-06,2127,-14.0150248242434
"3101",2010-07-13,1790,-17.2496916365437
"3106",2010-07-20,1761,-1.63337903385949
"3111",2010-07-27,1869,5.95216989593572
"3116",2010-08-03,1964,4.95796814588481
"3121",2010-08-10,2212,11.8913873727815
"3126",2010-08-17,2515,12.8375719891614
"3131",2010-08-24,2861,12.889841051627
"3135",2010-08-31,2713,-5.31161803911786
"3140",2010-09-07,2918,7.28434164237992
"3145",2010-09-14,2940,0.751113124999669
"3150",2010-09-21,2562,-13.7621377876048
"3155",2010-09-28,2504,-2.28987502366902
"3160",2010-10-05,2569,2.56272648898941
"3165",2010-10-12,2719,5.67474475225875
"3170",2010-10-19,2744,0.915254421330491
"3175",2010-10-26,2778,1.23145344685138
"3180",2010-11-02,2600,-6.6219799304716
"3185",2010-11-09,2467,-5.25086074802168
"3190",2010-11-16,2219,-10.5946193596763
"3195",2010-11-23,2199,-0.905393237783247
"3200",2010-11-30,2099,-4.65416707341282
"3205",2010-12-07,2173,3.46476604357964
"3210",2010-12-14,2069,-4.90433025108867
"3215",2010-12-21,1886,-9.26072145521397
"3219",2011-01-04,1693,-10.7956081060268
"3224",2011-01-11,1480,-13.4460015374975
"3229",2011-01-18,1432,-3.29700192375695
"3234",2011-01-25,1292,-10.2880663178044
"3239",2011-02-01,1084,-17.5533502342955
"3244",2011-02-08,1064,-1.86225120980019
"3249",2011-02-15,1236,14.9844968116046
"3254",2011-02-22,1279,3.41981635612072
"3259",2011-03-01,1262,-1.33807584776848
"3264",2011-03-08,1424,12.0772048870763
"3269",2011-03-15,1548,8.34939621777515
"3274",2011-03-22,1543,-0.323520178651204
"3279",2011-03-29,1572,1.86201206259913
"3284",2011-04-05,1462,-7.25433326794285
"3289",2011-04-12,1342,-8.56443227780961
"3294",2011-04-19,1271,-5.43570463421732
"3297",2011-04-26,1250,-1.66604408931077
"3300",2011-05-03,1292,3.30478540462007
"3305",2011-05-10,1344,3.94588367405477
"3310",2011-05-17,1274,-5.34886849509864
"3315",2011-05-24,1398,9.2881086661647
"3319",2011-05-31,1480,5.6999443964405
"3324",2011-06-07,1456,-1.63491380015293
"3329",2011-06-14,1400,-3.92207131532816
"3334",2011-06-21,1409,0.640799629533007
"3339",2011-06-28,1438,2.03730263823125
"3344",2011-07-05,1428,-0.697839538146283
"3349",2011-07-12,1411,-1.19761910467151
"3354",2011-07-19,1330,-5.91197306370148
"3359",2011-07-26,1310,-1.51518050206025
"3364",2011-08-02,1253,-4.44864612991287
"3369",2011-08-09,1257,0.318725369417905
"3374",2011-08-16,1344,6.69223124928475
"3379",2011-08-23,1565,15.2235581891158
"3383",2011-08-30,1537,-1.80533594356573
"3388",2011-09-06,1767,13.94507287811
"3393",2011-09-13,1901,7.30968701687322
"3398",2011-09-20,1795,-5.73750415660497
"3403",2011-09-27,1927,7.09593674919873
"3408",2011-10-04,1885,-2.2036568532255
"3413",2011-10-11,2106,11.0862592811809
"3418",2011-10-18,2136,1.4144507386165
"3423",2011-10-25,2161,1.16361564267997
"3428",2011-11-01,1912,-12.2421262895539
"3433",2011-11-08,1759,-8.34043488737883
"3438",2011-11-15,1846,4.82756703252392
"3443",2011-11-22,1854,0.432433106300323
"3448",2011-11-29,1828,-1.41229941117054
"3453",2011-12-06,1848,1.08815001875344
"3458",2011-12-13,1922,3.92623373286085
"3463",2011-12-20,1878,-2.31589297620296
"3467",2012-01-03,1624,-14.5315139046585
"3472",2012-01-10,1258,-25.5369083461238
"3477",2012-01-17,974,-25.586713361785
"3482",2012-01-24,807,-18.8087635372586
"3487",2012-01-31,680,-17.1230870099797
"3492",2012-02-07,660,-2.98529631496809
"3497",2012-02-14,734,10.6269193594044
"3502",2012-02-21,706,-3.88937911212732
"3507",2012-02-28,738,4.43285871072305
"3512",2012-03-06,787,6.42844238169307
"3517",2012-03-13,844,6.99242461785543
"3522",2012-03-20,884,4.63045680416858
"3527",2012-03-27,917,3.66504096188214
"3532",2012-04-03,931,1.51518050206025
"3535",2012-04-10,928,-0.322754449086649
"3540",2012-04-17,989,6.36625988365118
"3545",2012-04-24,1116,12.0811811318544
"3550",2012-05-01,1152,3.17486983145807
"3555",2012-05-08,1165,1.12215247439638
"3560",2012-05-15,1130,-3.05034542934148
"3565",2012-05-22,1127,-0.265839766660925
"3570",2012-05-29,986,-13.3658159437141
"3578",2012-06-12,893,-9.90697737261366
"3583",2012-06-19,954,6.60770905717882
"3588",2012-06-26,981,2.79087881170765
"3593",2012-07-03,1063,8.02779187765843
"3598",2012-07-10,1160,8.73249057584626
"3603",2012-07-17,1093,-5.94937959238715
"3608",2012-07-24,1003,-8.5930700214603
"3613",2012-07-31,897,-11.169492590314
"3618",2012-08-07,836,-7.04272489740942
"3623",2012-08-14,750,-10.8555406554346
"3628",2012-08-21,709,-5.62176799982286
"3633",2012-08-28,724,2.09358658535885
"3638",2012-09-04,693,-4.37613931958127
"3643",2012-09-11,662,-4.5764443252895
"3648",2012-09-18,697,5.15198548235158
"3653",2012-09-25,763,9.04726205239328
"3658",2012-10-02,778,1.94684928939344
"3663",2012-10-09,875,11.7497362179223
"3668",2012-10-16,981,11.4348573207749
"3673",2012-10-23,1109,12.2641527785004
"3678",2012-10-30,1043,-6.13575323495947
"3683",2012-11-06,947,-9.65573618146944
"3688",2012-11-13,985,3.93425479860108
"3693",2012-11-20,1066,7.90269635537006
"3698",2012-11-27,1097,2.86658555494403
"3703",2012-12-04,1054,-3.99867311739222
"3708",2012-12-11,900,-15.7952965776997
"3713",2012-12-18,743,-19.1698718606552
"3722",2013-01-08,734,-1.2187016103244
"3727",2013-01-15,765,4.13668052120206
"3732",2013-01-22,825,7.5507552508145
"3737",2013-01-29,779,-5.73723404639326
"3742",2013-02-05,739,-5.27131249225468
"3747",2013-02-12,747,1.07672641846159
"3752",2013-02-19,738,-1.21213605323449
"3757",2013-02-26,741,0.405680069561409
"3762",2013-03-05,806,8.40831172105414
"3767",2013-03-12,865,7.06457644252509
"3772",2013-03-19,912,5.29104831424521
"3777",2013-03-26,931,2.06192872027362
"3780",2013-04-02,896,-3.83188643021368
"3785",2013-04-09,856,-4.56700368331884
"3790",2013-04-16,880,2.76515313305099
"3795",2013-04-23,885,0.566573753567745
"3800",2013-04-30,863,-2.51729539245016
"3804",2013-05-07,889,2.96825444304769
"3809",2013-05-14,872,-1.9307811604925
"3814",2013-05-21,830,-4.93637231183364
"3818",2013-05-28,822,-0.968530573446369
"3823",2013-06-04,805,-2.0898117637616
"3828",2013-06-11,825,2.45411089161172
"3833",2013-06-18,962,15.3631064331026
"3838",2013-06-25,1090,12.4918524557483
"3843",2013-07-02,1170,7.08260525686129
"3848",2013-07-09,1120,-4.36750635026621
"3853",2013-07-16,1152,2.81708769666968
"3858",2013-07-23,1127,-2.19403272160603
"3863",2013-07-30,1067,-5.47082627380231
"3868",2013-08-06,1046,-1.98776066768849
"3873",2013-08-13,1007,-3.79977519063059
"3878",2013-08-20,1145,12.8429023269778
"3882",2013-08-27,1169,2.07440454837275
"3887",2013-09-03,1168,-0.0855798083895465
