time,open,high,low,close
2011-01-27T00:00:00Z,1186,1186,1186,1186
2011-01-28T00:00:00Z,1137,1137,1137,1137
2011-01-31T00:00:00Z,1107,1107,1107,1107
2011-02-01T00:00:00Z,1084,1084,1084,1084
2011-02-02T00:00:00Z,1064,1064,1064,1064
2011-02-03T00:00:00Z,1045,1045,1045,1045
2011-02-04T00:00:00Z,1043,1043,1043,1043
2011-02-07T00:00:00Z,1045,1045,1045,1045
2011-02-08T00:00:00Z,1064,1064,1064,1064
2011-02-09T00:00:00Z,1092,1092,1092,1092
2011-02-10T00:00:00Z,1136,1136,1136,1136
2011-02-11T00:00:00Z,1178,1178,1178,1178
2011-02-14T00:00:00Z,1206,1206,1206,1206
2011-02-15T00:00:00Z,1236,1236,1236,1236
2011-02-16T00:00:00Z,1271,1271,1271,1271
2011-02-17T00:00:00Z,1292,1292,1292,1292
2011-02-18T00:00:00Z,1301,1301,1301,1301
2011-02-21T00:00:00Z,1295,1295,1295,1295
2011-02-22T00:00:00Z,1279,1279,1279,1279
2011-02-23T00:00:00Z,1253,1253,1253,1253
2011-02-24T00:00:00Z,1242,1242,1242,1242
2011-02-25T00:00:00Z,1245,1245,1245,1245
2011-02-28T00:00:00Z,1251,1251,1251,1251
2011-03-01T00:00:00Z,1262,1262,1262,1262
2011-03-02T00:00:00Z,1281,1281,1281,1281
2011-03-03T00:00:00Z,1317,1317,1317,1317
2011-03-04T00:00:00Z,1346,1346,1346,1346
2011-03-07T00:00:00Z,1382,1382,1382,1382
2011-03-08T00:00:00Z,1424,1424,1424,1424
2011-03-09T00:00:00Z,1472,1472,1472,1472
2011-03-10T00:00:00Z,1538,1538,1538,1538
2011-03-11T00:00:00Z,1562,1562,1562,1562
2011-03-14T00:00:00Z,1559,1559,1559,1559
2011-03-15T00:00:00Z,1548,1548,1548,1548
2011-03-16T00:00:00Z,1538,1538,1538,1538
2011-03-17T00:00:00Z,1533,1533,1533,1533
2011-03-18T00:00:00Z,1531,1531,1531,1531
2011-03-21T00:00:00Z,1531,1531,1531,1531
2011-03-22T00:00:00Z,1543,1543,1543,1543
